,email,q1,q2,q3,q4,q5
661,10,,6,6,Redemption of reward tickets,don't set an expiry date of the Asia Miles earned as long as the account is active.
662,9,"Easy to earn miles, very friendly staff",6,,Variety of ways one can use to redeem offers,make more air tickets available for redemption
663,7,,5,6,Consumers can get benefit with expenses.,Offer more redeem choice
664,10,Because i'm loving it! :-),6,6,It actually works,Have more partners and improve web site interface
665,8,同銀行業務、信用咭合作。,6,6,同信用咭合作。,應該開放多些好時段給最低要求里數兌換。
666,9,,4,4,,
667,7,,3,4,,
668,7,Good service,4,4,Upgrade the class of flight,
669,7,"國泰有多航線選擇, 但難BOOK, 而且修改時間要收費,",5,7,,"打電話困難, 但在網上不能BOOK多航點, 及如要訂其他航空公司, 一定要打電話, 應改進網頁, 另外, 改航班時間要錢, 其他如ANA飛行計劃是不收費的."
670,8,Free airt tickets,6,6,Easy to redempt online,Difficult to log in the website
671,5,,4,4,,
672,8,,2,2,,
673,10,,5,4,,
674,7,,5,3,,
675,8,,4,3,Many ways to accumulate miles from credit cards and hotel stays...,Redemption is often difficult with small quota.  Everyone knows this...
676,10,,5,5,,
677,7,,5,5,,
678,8,,5,2,,
679,7,,4,3,,
680,8,因為儲里數可以換機票，好過用銀行績分換禮券。因此推薦朋友申請亞洲萬里通。,4,3,n/a,n/a
681,9,"If you know how to earn miles, it's easy to save those points and redeem free ticket or gifts.",5,4,Redeem miles for free air tickets.,Nothing i can say at this moment.
682,10,It is the best I a member of 4 other Airlines and I find this is the beat,7,7,It is always available on line to redeem,Just have some better proportions for the Diamond and Gold members
683,8,,6,5,,
684,9,flight award,1,1,flight award,more offer on flight award
685,0,,1,1,,Actually Cathay should treat royalty member in better way. New rules going backward.
686,8,My experience of redeeming tickets with Asia Miles has been good.,4,6,redemption of air tickets,Quicker response time for Telephone hotline services.
687,10,,5,5,,
688,5,I find it hard to use my miles for flights and upgrades.,5,1,Expiry date for the miles are long.,"I would like to use my miles for flights and upgrades, please make expand the dates and requirements"
689,8,,5,4,透明度不足，難聯絡！,加人手接聽電話，或加強網絡！
690,5,"缺乏資訊: 關於如何賺取里數,意指所持的只是普通卡, 而不是銀行信用卡之會員卡; 所以在一般情形之下只可訂高價機票時才有機會賺取里數!
一般消費者均只訂最低價的機票及酒店(上網), 沒有里數",3,4,more selection for redeem,熱線支援有充足人手
691,10,,6,6,,
692,7,,2,3,,
693,0,"Too complex to use, too many variables and rules. Make it simpler and easier to redeem flights",3,1,,"Website is horrible, hard to navigate and even harder to get the benefits out."
694,6,,6,5,,"Give family promtion packages to joint all miles needed in a pot, some
Kids maybe don't have enough"
695,10,,5,3,Can earn mikes when purchase on biard,Can do online redemption for multiple destinations
696,6,,1,1,,
697,5,,5,3,,致電联絡非常困難往往等候超過一小時
698,8,,6,6,good,nil
699,8,,5,6,,
700,7,,4,1,,
701,8,值得推介,3,3,可賺取積分而免費換機票,可以在電話也提供訂票更好
702,7,"generally a good program, but the new points v. previous miles system is confusing.",4,4,,More transparency on the new points system.
703,8,,2,4,,
704,9,因為希望朋友可以換到免費機票,4,2,可以在網上處理，不受時間限制,兌換機票時，在系統處理過程要加快
705,10,,6,6,The various ways I can earn Asia Miles.,
706,9,Most popular,6,6,Easy conversion,More non-travel redemption products
707,8,Some people prefer to avoid frequent flier miles as it locks them into one airline group,6,5,The strong link with Cathay Pacific,Give more miles!
708,7,,3,4,,
709,8,overall feeling,4,4,flexible with various choices of redeem items,
710,9,"Prompt reply
Friendly 
Helpful",4,5,,
711,8,Many different ways to earn Asia Miles.,7,6,Can redeem Cathay Pacific / Dragon Airline's ticket.,NA
712,8,提供理想挩換時段，客戶服務滿意,5,5,,提供更多早機晚返兌換時段
713,10,Asiamiles is by far the fastest programme to earn points for free travel,7,7,,"earn points by purchasing sportswear, jewelry, watch, etc."
714,0,"We dine n shop a lot but staff have no idea points can be added as we pay our bill , establishment",1,1,,Show us a list of places they give points
715,5,I do not think there are a lot of people who aren't a member already.,3,2,Earning miles,easier ways of redemption or earning (eg. electronic)
716,2,電話永無打得通，留言鮮有回覆。問旅行社就有位，上網就無位。,3,1,一時想不到。,多些人摟電話，多些位給人換機票。
717,6,兌換奬勵還算不錯,5,4,以前比較方便，尤其是電郵傳遞內容，現在很不方便閲覽，所以愈來愈少看其祥細內容,有的電話服務人員（按3字用普通話）語氣非常不禮貌，希望可以改善為荷！
718,9,可以轉換機票及其他，容易在網上操作。各銀行也可轉換積分到亞洲萬里通。,7,5,,
719,8,,6,5,"以往我是Cathay Pacific Marco Polo 忠心的 member, 但因國泰改变，將我们的mileage 可能變成Asia milage, 給我一些时间體驗贵好處再奉告。",容後奉告。
720,3,Availability shown online is often inaccurate when it comes to actually trying to book.,6,1,,See above.
721,10,Lots of ways to earn miles,6,5,iShop,better app
722,8,More choice from cheaper airline.,2,3,website is vert user friendly.,be more competitive.
723,7,,6,2,,
724,10,,5,5,,
725,8,"1) 除了購買機票，亦可於其他消費賺取里數；

2）但可供賺取里數的食肆感覺愈來愈少",5,2,可於購買機票之外的其他消費賺取里數,可供賺取里數的食肆感覺愈來愈少；
726,8,服務很多好,3,3,,不知道怎樣兌換里數
727,3,,7,2,,
728,10,Cos it worth it !,6,7,,
729,9,It allows me to accumulate mileage with the airlines that HK people usually takes.,6,6,mileage accumulation that can be used for flight ticket redemption,additional benefit such as lounge access.
730,6,website not user friendly,1,3,Nil,increase point.
731,6,,5,3,,
732,10,搞錯了。想給8分。,6,3,,
733,8,,6,6,,
734,8,I like CX services but it's not easy to be a loyal customer due to price.,2,5,"Free flight for family, upgrades.",Reward members with meaningful benefits. We don't need additional 10kg.
735,8,redeem reward is very helpful to me,5,7,to redeem a ticket,
736,7,"Slow to earn miles without flying, costly to transfer miles between friends and family",3,5,Good selection on redemption gift,No minimum in miles transfer nor # of transfer per year
737,3,Hard to redeem cathay pacific is bad,5,1,,
738,9,Good to exchange air tickets,6,5,Sometime promotion at exchange air tickets,More airline seats reserve for Asia miles member
739,6,Its service is generally fine but the food quality seems deteriating.,3,1,A good network of alliance airlines.,More tickets made available for redemption.
740,9,to earn free air tickets through different channel,6,4,,
741,5,服務質量下降,1,1,No,Upgrade customer service
742,4,work hard to earn AM but even HARDER to redeem on air tickets unless odd hrs and multi stop flights,1,1,That can redeem air tickets,provide more flights for point redemption
743,10,,7,5,,
744,0,No attraction,3,3,,Make your services cost effective and efficient
745,10,非常實用,5,6,換成機票及換其他產品都非常好,可以增加hotel的兌換則更好
746,7,,4,3,,
747,10,Lots of fun and rewards,5,5,Redeem air tickets,Lower the miles requirement to redeem air tickets
748,6,Up to others to decide their owm,3,4,Consider as Some extra bonus,"The flight with mileage always at odd hours, eg Singapore, popular time is difficult to get."
749,5,,3,3,,
750,6,兌換機票困難,5,1,購取里數的途徑不少,最低哩數換機票基本上很難
751,8,it's a reasonably good programme though not perfect,4,5,ease of use,make it even easier to earn miles
752,5,"the club has change, not for better but for worst",4,6,"use to be great benefit, now too many change for the worst",stick with your system which can help improve for your member travel
753,10,,7,7,,
754,10,,7,7,,
755,10,Efficiency when in contact on the phone or via email,7,5,I like having the ability to save miles and not be rushed into using them.,
756,2,,6,2,,
757,9,It's very dynamic the programme cover most of the key carriers.,6,6,It's easy to earn points,Provide most special offers to loyal members
758,4,Did not use Asia Miles for anything but get a cheaper flight ticker or upgrades,3,4,...  converting miles to cheaper air tickets and upgrades,AM should spend less on marketing and mailings to provide better conversion to tickets and upgrades
759,8,Takes too long to credit bonus points; too many complicated offers - make them simpler!,5,3,Redeeming for flights,Takes too long to credit bonus points; too many complicated offers - make them simpler!
760,7,,1,4,,
761,7,,5,3,,
762,4,Nothing actually we can benefit from the programme.,2,1,,
763,9,,4,5,,
764,9,,5,6,user friendly of app,Unable to combined points for redemption of tickets for family member
765,8,Difficult to redeem tickets with points,3,1,,
766,9,免費申請；申請過程簡單；方便往後訂購機票程序；積分有長使用期,4,4,同上：免費申請；申請過程簡單；方便往後訂購機票程序；積分有長使用期,可再增長積分使用期至5年或以上，吸納非經常旅遊者加入計劃
767,7,I like using CX services,5,4,Easy to manage,Provide more options and slots on redeeming flights
768,2,Simply I would not do make a recommendation to any of my friends.,2,2,easy to earn on CX/KA flight not nothing else,Should make it easier to redeem.
769,10,,6,6,The easy way of both earning and redeeming Asia Miles.,The earning rate of points from credit cards or banks should be slightly dropped to attract more.
770,10,Easy. To redeem,5,6,Can do online user friendly,Family plan to combine points
771,5,Don't really know how different you are from airlines whilst date I use - such as Marco Polo,2,2,,
772,6,,3,4,,
773,7,有很多渠道可輕鬆儲分換機票但可換之機票越來越少係美中不足,5,2,Flexible,縮短電話等候時間
774,10,Easy to use,7,4,Large variety of redemption,Will let you know if i could think of any
775,10,,6,4,Most of the brand / services I use is Asia Miles partner; i.e. CSL 1010.,Should have priority services for some senior members or those frequent tranvellers.
776,10,Why not earn miles when you can?,4,3,Not Asia miles but Cathay has good customer service on board.,
777,10,"服務態度很好, 而且對於經常飛的朋友. 既是免費加入, 又有很多著數。",5,6,"免費加入, 吸引力大增。不需要年費 , 即使對於飛行少的人亦可保留名額。",更多的消費途徑可以兌換裡數
778,2,,3,2,,
779,7,the figure 7 represents a magic figure for convenience sake. This is common to recommend this.,5,4,it is friendly and convenient . It is not difficult to achieve the goal.,More miles and more rewards than air miles.
780,7,,4,2,,
781,9,An easy and simple way to earn and redeem mileages.,6,6,With different options to redeem tickets and actually can redeem as well,
782,9,因為可以換機票,6,5,,
783,10,無哥抗拒的方便，衣食住行也能賺取里數。,5,4,,
784,7,,5,6,,
785,8,,5,4,,Miles redemption could have better interface
786,10,,5,3,,
787,5,The amount of miles needed to redeem a gift is ridiculous and has no bearing on the value.,3,3,It's only real value to me is redeeming flights.,Get the valuation of gifts right so that there is a compelling reason to collect miles.
788,10,Amount of vendors that can allow Asia Miles accrual and also the selection of rewards are excellent,6,6,The selection of rewards,"Offer periodic discounts on redemption rewards, similar to the fanfares promotion for Cathay!"
789,10,可以儲分換機票，身邊親朋戚友都用里數換到機票，值得恭喜，可惜本人申請了10年以上，卻一次機票都換唔到！,7,7,,
790,7,redemption process is not most convenient.,5,5,floght redemption,"easier redemption process, especially for flights"
791,8,"用里數除可兌換機票外, 還可靈活地選擇換取各式各樣商品、餐券、演唱會票等。",3,4,"網頁很好, 能提供全面服務選擇。","如果經常推廣兌換機票優惠及以折扣兌換機票及商品就更好。
電話熱線實在太難打通及很久都沒人接聽, 請多加改善。"
792,8,,4,5,,
793,8,"好的地方可以用啲分去旅行
欠2分，hotline好難打，同埋啲分好難換",1,2,,
794,10,,2,6,,
795,3,有分都難換。,5,3,more promotion with HK Bank. Instead of exchange less policy to discourage since 2015,"I will shift all to BA instead. You may compare with other
counterparts"
796,8,i think nothing is perfect in this world.,6,4,Many other ways to earn Asia Miles.,More discount to exchange miles for flights.
797,9,,5,5,,
798,10,I have used miles to upgrade in the past BUT... upgrades are less satisfying now with 'premium',6,6,Upgrades,I would like more  information on how to move between tiers to get the most out of my membership
799,3,Very difficult to make contact with your office. No response on missing mileage claim by fax.,4,4,I cannot think of,Improve services. you need more people to work to help answer the phone.
800,5,,4,5,,More operators so that I don't have to waste my time on the phone or wait for a call back.
801,6,The flight award redemption is not flexible enough,2,3,Miles can be earned from wide spectrum of services.,"But the earning miles is so little, should be increased significantly."
802,8,There is a change in how mileage are calculated and seems the purpose was to reduce benefits,4,3,Quite the same as other airline,"Upgrade your benefits and the lounge facilities and 'catering choices' , constantly review is needed"
803,8,,6,5,Easy to redeem miles. Good system.,Only Marco Polo gets priority. If Asia Miles could have priority Or link automatically to Marco Polo
804,8,"Easy to join, accumulate + redeem points and good benefits.",5,6,The ease of communication and obtaining information.,"To have index for easy search of brand or name of shop, restaurant, hotel, etc. to redeem reward."
805,10,Can redeem air ticket,3,6,Promotion is good,only small amount of ticket can be redeem
806,10,Good to save mileage and easy to redeem free tickets online.,5,6,Ti redeem free tickets,Do more promotions for earning Asia Miles. Improve and add manpower to support hotline.
807,2,Difficult to redeem ticket,6,1,Marketing,Commit to help members
808,2,A lot more additional miles are required if one wants to redeem on a specific date.,1,4,Can redeem free flight tickets,Do not vary the number of Asia miles required according to different dates for the same destination
809,8,Lots of flight route available,4,4,,
810,10,,7,6,,
811,5,,4,7,,
812,8,"Easy, simple, covenient, lots of choices",6,4,"User friendly, easy to earn miles",Online redeemption for more than one stop or with different stopover points.
813,10,,7,7,Very easy to get miles,
814,8,Has worked well for me and quite easy to earn and redeem points,6,6,Free Air Travel against points earned,Miles earned to determine status of Marco Polo Club class irrespective of club points earned.
815,8,"Its a great program. Still it is ""expensive"" to redeem tickets and upgrade tiers.",2,2,Flexibility and customer service.,"Go back to the miles/sector accumulation, rather than club points. May lose loyal customers."
816,8,Good,5,3,,
817,10,,4,3,,
818,8,,4,4,,
819,10,兌換獎勵機票遠比換其他信用卡積分禮品實際,5,4,網上兌換獎勵機票程序簡易,"網上兌換獎勵機票太多限制，如以最基本積分兌換太多只為 ""WAITING LIST"""
820,8,I myself like it & it is useful when traveling,5,5,Redeem air ticket,Lower its redemption rate / required points
821,7,,3,6,,
822,7,It is still good even the services have been disappointing lately. But I support HK company,3,3,It represents HK,Exceed the competitions.
823,8,Living in HK there is a range of airlines you can choose to fly. Asia Miles covers most.,5,1,Connects with One World alliance.,"Phone attendance is poor. Should be easy to redeem miles! Online, phone, etc. -> Should be easier.."
824,8,可以換好需要的東西。,6,6,換机票,联络時間要快。
825,10,多用多得。,4,2,安排着意。,電話好難聯絡，希望多幾條電話通話及早回覆，謝。
826,10,,5,4,,
827,2,Problems in the past using the online service and have had limited success applying for redemptions,4,1,,Integration with Marco Polo
828,6,不易容換取機票，通常要好早好早前先換到。,4,3,Website容易用,多些人接熱線
829,9,it has been a very pleasant experience for me and my family using Asia miles in out flight bookings,5,4,,
830,7,因為能賺取積分的途徑有很多，且容易兑換,4,5,有很多不同及定期的推廣，並一直擴大加盟的公司種類和數量,在行政變更資料、積分轉贈或兑換機票成員的處理上手續費偏高，祈望有改善的空間
831,8,可以換免運機票去旅行,3,5,有很多購買商店都可以賺到里數,對換機票里數小些
832,10,"It is a powerful card for me and friends, they can buy update and upgrade products in different shop",7,7,"Effective and efficiency, reasonable prices for all kinds of products. Very convenient for me.","Try to found more middle class level products and with morden styles, it will suit all generations."
833,8,,4,4,,
834,8,So far the experience in browsing and redeeming miles is good,5,4,Redeem for free air tickets,"Security, choices and flexibility in using our miles"
835,7,,5,2,,
836,10,,5,5,,More credit card provider
837,10,It is a place to use my points to exchange for my ticket,7,7,Exchange tickets,Lower the points for ticket rewards
838,6,Online Interface is difficult,7,3,Multiple ways to earn,Redemption platform. Make it easier. Also login to website is cumbersome
839,3,,3,2,,
840,7,,6,4,,Allow more tickets; improve customer services response time; delete waiting list redemption
841,8,Definitely room for further improvement on the offers,4,2,A good selection of redemptions,Allow collecting Asia Miles at restaurants while enjoying other credit card discount offered
842,10,"因為很容易利用milage對換機票, 及有很多渠道可以賺取milage.",6,6,容易對換,延長有效期限
843,2,Flights need to be booked over a year in advanced which is not practical if even available.,5,1,Partnered with Cathay Pacific.  Nothing else anymore.,Provide more availability for flight redemption rewards with a shorter time frame.
844,6,because of the customer service waiting time is forever,6,1,Can redeem various flights with AM,improve your customer service waiting time
845,7,,2,4,,
846,7,,4,5,,
847,8,可以換取眾多生活獎勵,4,1,活動推廣或特選活動可更多,增加可對換機票數量
848,9,I prefer to travel Cathay Pacific cause I live in Hk and what I like I recommend others.,6,2,"You can redeem easily from credit cards,hotels,car rentals,restaurant dining and travelling.",Have flights available to redeem cause 90percent of the time we can not get seats.
849,7,,4,4,,
850,10,,6,4,,
851,8,Yes,6,6,,
852,10,You benefit from redemptions,3,4,Points don't expire that quickly. Can transfer points to nominated persons.,Make it easier to earn points!
853,7,,1,2,,
854,8,,3,3,,更多拍賣，改善信用卡兌換率，新加家庭帳戶，更多獎勵機位
855,5,The new way to earn miles is only beneficial for you to the detriment of customers,1,4,Recently. Maybe the lounges if you can get in,Well first do not limit that field to 200 characters! It's 2016 not 1995! Bring back to old miles.
856,10,不需要年費可以入會，也可䁠取里數乚,3,3,,如可以里數當現今更好
857,9,I like the fact that I can book on line and change dates on line.,5,6,,
858,8,I only use my miles for flight redemptions so my rating reflects recent experience with CX.,6,4,,
859,8,你們是可信賴的公司及市場認受性,4,5,獎賞定期更新,
860,1,"It is much too hard to convert miles to airfares. Many flights blocked forever, others restricted.",4,1,Can't think.,"Permit the Miles to be exchanged for any flight, any time."
861,7,,4,2,,
862,8,因為「亞洲萬里通」的服務範圍覆蓋面廣，質素亦高；而且經常自我優化，提升服務水平，切合客人需要。,3,3,所有聯盟商戶的質素大致均有保證。,於賺取和兌換積分方面可再作優化。
863,8,,5,4,,
864,7,,6,3,,easier redemption for air tickets (too many restrictions currently)
865,7,,6,6,,
866,10,,5,7,,
867,2,Extremely difficult for us to redeem air tickets even one year ahead of the departure dates.,3,2,cannot think of,make it VISIBLE for members to see if we can redeem air tickets when we raise the request.
868,8,因為加入不久，未能全面睇會，所以現時只能感覺上比8分,4,4,服務好，資訊多。,未知道
869,8,,5,5,,
870,10,giving me the chance to redeem flights,6,4,,easier to redeem flight with less milage
871,7,,5,6,,
872,5,,2,2,,
873,7,Asia miles becomes less attractive with the offerings.,2,3,Nice redemption,"Better redemption, get those nice things back in the redemption."
874,7,,4,3,,
875,10,I can redeem air ticket,5,5,redeem air ticket,explore more ways to earn miles
876,4,I have requested to reset password five days ago and still no response after almost 5 days now!!!,5,2,,
877,6,"服務态度很好,但很難接通電話.",7,3,服務态度很好,應該共同享用賺取的里數.用文字表達不清楚.
878,6,,7,1,,
879,10,I have been an Asia Miles participant for many years and appreciate the extra benefits provided.,4,4,I am a frequent traveler and can use points to upgrade.,Perhaps more targeted marketing of services and rewards of my interests. E.g. Travel Tech items
880,8,"Being a member of Asia Miles, one can use the earned points to redeem different types of reward.",6,6,,
881,10,適當利用消費來賺取里數及換領機票總比消費後甚麼都沒有好。,5,5,大致上都做得不錯。,"淘寶賺取里數方法很不方便，每次都要重新搜索貨品實在很困難。最後還是放棄這樣做。
可賺取額外里數的餐廳，應在店舖貼上提示，好讓客人知曉及提醒客人提供會員號碼。
網頁系統有時不穩定。"
882,10,Your service is good.,1,1,It is easy to get gift.,More points can be get.
883,6,Can be improved,5,4,Various channels to earn miles,Promotion offers can be more attractive
884,9,It's a good program and have many ways to earn and spent.,5,5,,
885,9,Never had problems to get what I wanted with the system and points,4,7,Flexibility - diversity,"Link credit cards to asia miles - so that when you make a purchase, it will automatically registered"
886,4,,2,2,,
887,9,對於經常乘搭國泰或聯營飛機的乘客是一個好好獎勵的平台，現在還可以在一些指定餐廳及指定信用卡也可以賺取里數。,5,3,現在可以多元化地賺取里數。,可以加多些賺取里數的方法，使會員容易些兌換獎勵。因此可以鼓勵更多會員乘搭你們的飛機。
888,7,,4,5,,
889,8,,5,3,,Need to redeem tix way ahead of time which is just not possible to commit the travle date so early
890,5,"兑換積分時，使用兑換名單內的人仕，需繳交最小170美元轉贈服務費，太貴了。
買機票時，有特價機票，不儲積分，也還平過給轉贈服務費。",2,1,,
891,8,Good program,5,5,Rewards,More special offers
892,8,,5,1,,
893,10,,6,6,,
894,6,,4,4,,
895,7,,5,4,,"電話等候時間縮小
多些機會在旺季可換取機票"
896,5,,4,3,,
897,10,,7,4,,
898,10,很優惠,4,4,/,曾加飛行里數，快取免費機票
899,9,In general I am satisfied with the AM performance.,5,3,Easy to understand scheme.,Hotline takes so long to get through.
900,3,,2,2,,
901,10,,5,4,,
902,10,,5,2,熱線經常要等待很長時間才有人接聽,
903,8,,3,5,,
904,6,,5,6,,
905,7,,5,5,,
906,10,A lot of choose for redeem.,4,7,Easy to use.,Need more priority serivce.
907,8,Good for earning miles to redeem flights if living in Hong Kong,3,5,redeeming flights,more ways to earn miles in HK
908,8,Flight redemption always full. No discount on miles while tickets becoming cheaper.Hotline no answer,6,6,An arm of Cathay Pacific. Reliable and trustworthy.,Provide online redemption of partner flights.
909,10,Good programme,4,4,Good programme and affilation with many credit card/banking companies to earn points faster,"For participating stores, can accept e-card via app, instead of accept physical card."
910,10,,2,4,,
911,10,,4,5,,
912,4,,4,4,,
913,8,,4,4,,
914,8,depend on the travel frequency,5,4,,
915,2,i refer to the new changes on the marco polo membership which is worsen by far from the prevoius one,2,4,possible upgrads with points,make the MP program fair to be able to renew high level in easier way.
916,3,因為貴公司把升級的機會由航段改為幾分制。因這樣更改計分制。那就把我今年能夠升級到金卡的機會落空。就因為這樣的更改。會另到很多人都不能達到升級的機會。,3,2,只是可以賺取里數。,要換取機票很難
917,6,,3,3,,
918,10,,2,2,,
919,10,,6,6,,
920,8,i think its a good program but the dollar-to-miles conversion on credit card spending is too low,5,4,dedicated staff to assist consumers in booking flights / hotels,increase dollar to miles conversions on credit card spending; incorporate more hotel + flight deals
921,6,Not much confidence in the value of frequent flyer miles,6,2,I have lost touch with whatever concept there is between Marco Polo and Asian miles.,Make a clearer path to earning rewards or benefits.
922,5,The website is not user-friendly friendly enough.,4,5,Can redeem air tickets or upgrade class.,Improve the website.
923,1,As yet see no benefits from this program especially as it is more difficult to attain gold status with Marco Polo,2,1,nothing so far,be more generous
924,6,"The hotline is always busy; took more than 2 months to refund the charge, not acceptable !",6,4,,
925,6,depends on the value added services/products are being attractive,6,6,regular update,the privileges and discounts are not attractive as similar offers could be obtained elsewhere
926,8,free air ticket or gifts for redemption,5,4,free air ticket or gifts for redemption,sometimes difficult to redeem air tickets to 'hot' places and seasons
927,8,,4,3,,
928,8,It used to be good but becoming very difficult to gain mileage.,3,4,Variety of options to redeem,Review the new mileage program. Points are difficult to accumulate for customers of short haul.
929,8,可以兌換機票免費飛,3,3,改善了兌換方式，客服熱線能接通,"網上兌換機票功能始終未能全面，有某些情況依然需致客服熱線傷安排。
兌換機票未能顯示所餘機位。
兌換機票時不能同時以友人里數替友人同時兌換。"
930,10,,3,3,"provide better channel to redeem the milage, in particular upgrading of seat.","Difficult to get in touch through telephone, yet it cannot complete through internet."
931,1,I'm very disappointed with the recent change of the Marco Polo Club membership.,1,2,Nil,Expand your partnership network
932,5,,7,7,,
933,8,,5,3,,
934,6,,3,3,,
935,9,Easy to use,6,6,,
936,9,easiest way to earn points and redemption for leisure / vacations.,6,5,lots of redemption choices,To partner with more different airlines
937,4,,6,2,,換機票的條文可以簡化和容易明白點
938,8,,5,3,,
939,10,換領獎賞很吸引,3,5,生活每方面也照顧到，衣食住行，而且亞洲萬里通已是一個時尚品牌、身分象徵,里數有效期可長久一點
940,9,因為可以用Asia miles換取到多項旅遊產品、演唱會門票⋯⋯等等，十分方便。,5,6,,
941,8,,4,4,Flying in a higher class than economy,
942,5,,3,3,,
943,0,Everything is bad and pale in comparison with KrisFlyer,1,1,same account number as Marco polo,Please do more survey or focus group to get real problems so you can fix them fast.
944,7,,3,3,,
945,9,,4,2,Good services at airport,Better phone dervice for the elderly that is not good with computers those over65 in particular shou
946,8,"When paired with the correct credit card, Asia Miles can be earned quickly for Award Trip Redemption",6,4,Low requirement for trips,Better redemption items at lower points requirements.
947,6,,4,4,,
948,4,Lack of flexibility and redemption flights. 30k flights already at 50k miles or no seats available.,3,3,priority boarding for marco polo & lounge access,Improve customer exp by being flexible esp for customers who have been with AM for a long time
949,7,"I always login Marco Polo website first, therefore, for AsiaMiles website, it is like a back up",5,3,can select meal at website,app for smart phone
950,9,Can earn miles by various means.  User-friendly online system.,6,4,Can earn miles by various means.,More resources in handling mileage redemption on phone.
951,0,Very difficult to connect to customer service on phone,5,1,,Hire more customer service representatives
952,9,useful,1,2,its free,more travel awards
953,8,,2,2,,
954,10,The program covers a wide variety of services,2,5,wide variety of services offered,strengthen connection with the Marco Polo Schele
955,8,Spending 20k miles to upgrade is fine but I don't earn any miles for the original ticket I paid for.,4,2,Opportunity to upgrade.,Charge more miles to upgrade but allow miles to be earned towards renewal based on original fare
956,10,"Every time I can your hotline, there is someone who can help me.",5,,Can redeem the ticket,nothing
957,2,,2,1,Nothing worth mentioning,"The membership tier (within one year to maintain the current status) is too short, at least 2 years"
958,7,It is difficult to redeem awards as tickets always full or waitlisted hotline always busy.,4,6,The website and online platform,places available for award redemption and hotline services
959,5,,2,2,,
960,10,,6,6,,
961,6,I don't think the Asia Miles programme is as useful for me as I only need the miles for upgrades,4,5,ability to upgrade,increase number of flights you can upgrade on.
962,10,,3,4,,
963,10,,5,6,,
964,8,,5,5,,
965,6,,5,3,,
966,10,,5,6,,
967,10,,1,2,,
968,2,,3,4,,
969,7,,3,1,,
970,10,,6,6,,
971,7,Too difficult to redeem ticket VS other like ANA club etc.,5,2,"if more easy to redeem ticket, I think it will be better.",Same as previous question
972,6,有其它計劃比較好,4,2,,更多兌換名單，或減換名單手贖費，例如每年可免費更改一次，增加機位，因從來換不到
973,2,要先登記為會員,2,2,信用卡回赠,所有消费都可以。
974,8,1. CX is my preferred airline.  Asia Miles is the best when it comes to redeeming CX flights.,6,7,Good staff service and variety in redemption program.,Nothing I can think of right now.
975,10,,5,5,,
976,0,,1,1,,
977,10,,4,5,,
978,8,,5,6,priority check in and priority waitlist,"most discount fare do not earn miles, suggest to at grant miles even on discount fare"
979,10,,4,4,,
980,6,Good program but too many non-flight award promotions,6,3,Airfare rewards,More flight promotions
981,9,,4,4,,
982,1,"於購買機票時十分困難賺取航段或里數,如要賺取里數要付上和機票價不合理之價錢升級。 餐廰或購物. 店內均没提示能賺取里數而且大部份店內優惠與里數只能取其一,亞洲萬里通一般不及店內優惠或折扣吸引。",2,2,No memebership fee,"増加換票透明度, 於市區增櫃位或辨公室處理會員事務"
983,9,,6,6,,
984,10,it's practical and useful to all who flies,6,6,can earn automatically when I fly,
985,8,Basically only using Asia Miles in connection with Cathay Pacific travelling.,4,4,The link to Cathay Pacific which can give benefit to airport lounges.,
986,5,so tight to get it.  I am using it because I already have had some balance miles before.,1,3,,The new policy of counting miles is bad and tight. No motivation to earn more going forward.
987,10,方便，有優惠。,4,4,普遍都好。,被多D機位去換。
988,7,Asia miles program has established a pretty comprehensive network for earning miles,5,2,I found it rather difficult to redeem ticket especially those hot destinations and peak season,Mileage required for ticket redemption is also found to be higher comparing to other programs
989,5,"When I flew from Hong Kong back to Los Angeles on May 14, my seat is 20A which is business class. wh",7,4,"I have heard many Cathay's customers complain about new points-based system, if they want to keep th",
990,7,,6,3,,
991,8,,4,4,,
992,8,Better range of earning and spending options than other miles schemes,6,5,"Once set up, earning is easy",Increase availability of flight redemption options
993,10,,7,5,,
994,8,,5,2,,
995,9,The asia miles program for mileage accumulation based on CX ticket sales works well. but for other m,4,6,ticket rewards,"more ways to earn Asia miles, currently it's not very clear what outlets support mileage earnings"
996,10,,6,5,,
997,10,credit points that are saved while we consume can be used to redeem air ticket,3,3,,
998,3,,4,2,,
999,2,"Most of miles are earned from credit card usage, most flights ..Stupid IT Not Enough CHAR",4,4,,Grammar
1000,10,可換機票,4,5,良好服務,"在旅行社訂澳洲來回機票, 竟然去程可獲得里數回程卻不能獲得里數, 很復雜!"
1001,8,,6,5,,
1002,10,因為可以換取機票外遊,2,6,"航點很多，很多地點都覆蓋得到，特別是 open-jaw, stop-over 既安排很大自由",熱線等候得太久，如果有網上都可以換 open-jaw 及 stop over 就會更好，現在很多信用卡咭的兑換比例已調高，增加換機票的難度
1003,10,,4,6,,
1004,8,Relatively easy to spend the awards,4,5,,Have better non-flight redemption offerings.
1005,10,,5,5,,
1006,8,,2,2,,
1007,4,,6,6,,
1008,4,,4,,None,None
1009,9,,5,6,,
1010,8,Cause Cathay pacific still trying their best to serve the clients . They have more flights to Japan.,4,7,It is convenient to redeem ticket in the web site .,Shorten the waiting time in the service center phone call ! Cause usually wait for half hour .
